a,b,c,class
9.4202,-4.3507,10.3764,1
9.7044,-4.4601,10.6803,1
9.8075,-4.0894,10.6259,1
9.2771,-4.0349,10.1166,1
9.6447,-3.5968,10.2936,1
9.6782,-4.1302,10.5226,1
8.9142,-4.0119,9.7754,1
9.1394,-4.4592,10.1692,1
9.8231,-3.779,10.5249,1
9.2623,-4.5824,10.3339,1
9.6072,-3.8108,10.3354,1
8.8925,-4.2265,9.8458,1
9.2496,-4.4385,10.2594,1
9.47,-4.173,10.3487,1
9.6976,-4.4405,10.6659,1
8.8992,-4.7873,10.1051,1
9.5353,-4.5013,10.5444,1
9.5616,-4.7779,10.6889,1
9.2488,-3.9549,10.0589,1
9.5701,-4.1733,10.4405,1
8.8904,-4.796,10.1015,1
8.7498,-4.0136,9.6264,1
8.6209,-4.0353,9.5186,1
8.857,-4.6277,9.9931,1
9.4789,-4.9501,10.6936,1
9.2571,-4.8104,10.4323,1
9.0202,-4.5731,10.1132,1
8.9966,-4.9447,10.2659,1
8.5765,-4.4658,9.6695,1
9.0626,-4.4458,10.0943,1
8.8186,-4.7436,10.0135,1
9.3493,-4.9068,10.5587,1
9.1205,-4.791,10.3023,1
8.8638,-4.8183,10.0888,1
9.4153,-4.3011,10.3512,1
8.7153,-4.7274,9.9149,1
8.9483,-4.7621,10.1366,1
8.8099,-4.4366,9.864,1
9.0089,-4.4578,10.0515,1
8.4387,-4.9551,9.7859,1
9.0101,-5.3893,10.4989,1
9.1545,-4.6428,10.2645,1
8.5958,-5.2283,10.061,1
8.5413,-5.0704,9.9329,1
9.029,-5.2463,10.4425,1
8.3183,-4.787,9.5974,1
8.8678,-4.7084,10.0403,1
8.335,-5.0388,9.7397,1
8.7486,-5.3011,10.2294,1
8.3074,-5.2514,9.828,1
8.6907,-5.3826,10.2226,1
8.8042,-5.4135,10.3354,1
8.635,-5.4738,10.2238,1
8.6149,-5.5949,10.2723,1
9.0447,-5.0638,10.3657,1
8.4499,-5.1035,9.8715,1
8.8523,-4.7568,10.0494,1
8.8477,-4.9985,10.162,1
8.599,-5.0238,9.959,1
8.3743,-5.5368,10.0392,1
8.6735,-4.8626,9.9436,1
8.1855,-5.3164,9.7605,1
8.2156,-5.5025,9.8881,1
8.483,-5.5512,10.1379,1
8.6582,-5.7215,10.3779,1
7.9843,-5.807,9.8727,1
8.4933,-5.1572,9.9364,1
8.6717,-5.5254,10.2824,1
8.4537,-4.9657,9.8042,1
8.3268,-5.2725,9.8557,1
8.362,-5.4894,10.0028,1
8.4741,-5.5624,10.1366,1
8.3484,-5.2452,9.8594,1
7.832,-5.6566,9.6611,1
8.1205,-5.8268,9.9947,1
7.7177,-5.5801,9.5237,1
7.8388,-6.1235,9.9471,1
8.241,-6.0431,10.2193,1
7.982,-5.5508,9.7223,1
7.8275,-5.5528,9.597,1
8.39,-5.3001,9.9239,1
7.7072,-6.0473,9.7965,1
7.6665,-5.7223,9.5666,1
7.7443,-5.3075,9.3885,1
7.5398,-6.1615,9.7372,1
7.8153,-6.0675,9.8941,1
7.6276,-5.444,9.3711,1
8.0485,-6.1252,10.1142,1
8.2243,-5.435,9.8579,1
7.7395,-5.6963,9.6098,1
7.5878,-6.0041,9.6759,1
7.9712,-5.9242,9.9316,1
8.0571,-5.8622,9.964,1
8.1959,-5.6108,9.9325,1
7.6767,-5.6095,9.5078,1
7.657,-6.1254,9.8056,1
7.5673,-5.7996,9.5341,1
8.1698,-6.0888,10.1892,1
7.918,-5.6882,9.7494,1
8.2337,-6.4021,10.4298,1
7.4875,-5.7591,9.4462,1
7.5267,-6.0251,9.6412,1
7.2852,-6.4088,9.7029,1
7.2045,-6.3938,9.6325,1
7.3836,-5.6946,9.3245,1
7.3542,-6.5739,9.8641,1
7.48,-6.0001,9.5891,1
7.3445,-5.948,9.4509,1
7.0399,-6.2306,9.4011,1
7.3769,-6.4512,9.7998,1
7.5516,-5.8418,9.5474,1
7.3632,-6.1157,9.5718,1
